[24 Sep 2020 09:36:57.887]  |void clearFilesTask() Method successfully executed within 10 milisecond.
[24 Sep 2020 09:56:32.672]  |	 	 	 void setPlaceholder(String s) Method from loadMenu[BugPanel.java:169] called with [ Search...] at 2020-09-24 09:56:32.672
[24 Sep 2020 09:56:32.672]  |	 	 	 void setPlaceholder(String s) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:56:33.092]  |	 	 void loadMenu() Method successfully executed within 600 milisecond.
[24 Sep 2020 09:56:33.092]  |	 	 void loadBugs() Method from stateChanged[ActionGUI.java:562] called with [] at 2020-09-24 09:56:33.092
[24 Sep 2020 09:56:33.172]  |	 	 	 void showIssues(String state) Method from loadBugs[BugPanel.java:730] called with [all] at 2020-09-24 09:56:33.172
[24 Sep 2020 09:56:33.182]  |	 	 	 void showIssues(String state) Method successfully executed within 10 milisecond.
[24 Sep 2020 09:56:33.182]  |	 	 void loadBugs() Method successfully executed within 90 milisecond.
[24 Sep 2020 09:56:33.182]  |	 void stateChanged(ChangeEvent arg0) Method successfully executed within 690 milisecond.
[24 Sep 2020 09:56:33.252]  |void ActionGUIInit(List tabs) Method successfully executed within 979 milisecond.
[24 Sep 2020 09:56:33.452]  |void setText(String text) Method from <init>[ToastMsg.java:29] called with [Please wait] at 2020-09-24 09:56:33.452
[24 Sep 2020 09:56:33.473]  |	 void setEndLocation(int x,int y) Method from setText[ToastMsg.java:37] called with [0, 0] at 2020-09-24 09:56:33.473
[24 Sep 2020 09:56:33.473]  |	 void setEndLocation(int x,int y) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:56:33.482]  |void setText(String text) Method successfully executed within 30 milisecond.
[24 Sep 2020 09:56:33.482]  |void setLocation(int x,int y) Method from run[BugPanel.java:749] called with [908, 439] at 2020-09-24 09:56:33.482
[24 Sep 2020 09:56:33.482]  |void setLocation(int x,int y) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:56:33.482]  |void showToast() Method from run[BugPanel.java:750] called with [] at 2020-09-24 09:56:33.482
[24 Sep 2020 09:56:33.492]  |void showToast() Method successfully executed within 10 milisecond.
[24 Sep 2020 09:56:33.492]  |StringBuilder HttpGet(String URL) Method from run[BugPanel.java:752] called with [https://api.github.com/repos/souvik-sarkar-98/CaptureEasy/issues?state=all] at 2020-09-24 09:56:33.492
[24 Sep 2020 09:56:33.502]  |	 void terminationLogic() Method from run[ToastMsg.java:94] called with [] at 2020-09-24 09:56:33.502
